Date,Average of Water heights in meter,Station,Name of river,Subdistrict,District,Province
2022-01-03,5.71,Ban Muang Pok,น้ำแม่แตง,เปียงหลวง,เวียงแหง,เชียงใหม่
2022-01-03,4.3675,Ban Mueang Kuet,น้ำแม่แตง,กึ๊ดช้าง,แม่แตง,เชียงใหม่
2022-01-03,2.47,Ban Mueang Mai,ห้วยแม่ต๋า,เมืองมาย,แจ้ห่ม,ลำปาง
2022-01-03,4.342083333,Ban Mueang Pha,น้ำแม่ริม,ริมเหนือ,แม่ริม,เชียงใหม่
2022-01-03,8.325416667,Ban Nam Khong,แม่น้ำยม,ป่าแมต,เมือง,แพร่
2022-01-03,6.047083333,Ban Nam Yao,น้ำยาว,อวน,ปัว,น่าน
2022-01-03,1.647083333,Ban Nong Naw,น้ำแม่สอย,แจ้ห่ม,แจ้ห่ม,ลำปาง
2022-01-03,3.432916667,Ban Nong Pham,น้ำแม่ลาว,แม่สรวย,แม่สรวย,เชียงราย
2022-01-03,6.99,Ban Pa Kha,น้ำควร,ควร,ปง,พะเยา
2022-01-03,7.889583333,Ban Pa Khoi Tai,แม่น้ำปิง,สันผีเสื้อ,เมือง,เชียงใหม่
2022-01-03,4.75,Ban Pa Sang,น้ำแม่ทา,ป่าซาง,ป่าซาง,ลำพูน
2022-01-03,5.550416667,Ban Pang Sa,ห้วยน้ำยาว,ผาทอง,ท่าวังผา,น่าน
2022-01-03,10.22,Ban Pha Khwang,แม่น้ำน่าน,บ่อ,เมือง,น่าน
2022-01-03,6.51,Ban Phai Ngarm,แม่น้ำน่าน,ส้าน,เวียงสา,น่าน
2022-01-03,4.342916667,Ban Phan Ton,น้ำแม่วาง,ทุ่งปี้,แม่วาง,เชียงใหม่
2022-01-03,4.8,Ban Phi Tai,น้ำปี้,บ้านพี้,บ้านหลวง,น่าน
2022-01-03,6.64375,Ban Pong,น้ำแม่กวง,บวกค้าง,สันกำแพง,เชียงใหม่
2022-01-03,4.68,Ban Pong,ห้วยโป่ง,บ้านโป่ง,งาว,ลำปาง
2022-01-03,4.11,Ban Rong Kho,แม่น้ำวัง,ร่องเคาะ,วังเหนือ,ลำปาง
2022-01-03,3.04,Ban Saluang Nok,น้ำแม่ริม,สลวง,แม่ริม,เชียงใหม่
2022-01-03,4.38,Ban San Pu Loei,น้ำแม่ขอด,โหล่งขอด,พร้าว,เชียงใหม่
2022-01-03,3.93,Ban Singpotin,น้ำแม่ลาย,ป่าเมี่ยง,ดอยสะเก็ด,เชียงใหม่
2022-01-03,9.62,Ban Sob Soi,แม่น้ำปิง,แม่สอย,จอมทอง,เชียงใหม่
2022-01-03,5.887916667,Ban Sop Mae Sapoot,แม่น้ำแม่ทา,ทาสบเส้า,แม่ทา,ลำพูน
2022-01-03,7.7,Ban Sop Pae,แม่น้ำปิง,สบแปะ,จอมทอง,เชียงใหม่
2022-01-03,5.54,Ban Sop Prap,แม่น้ำวัง,สบปราบ,สบปราบ,ลำปาง
2022-01-03,5.89,Ban Sop Tam,น้ำแม่ต่ำ,เกาะคา,เกาะคา,ลำปาง
2022-01-03,4.465,Ban Sop Win,น้ำแม่วาง,แม่วิน,แม่วาง,เชียงใหม่
2022-01-03,5.65,Ban Tha Duea,แม่น้ำวัง,พิชัย,เมือง,ลำปาง
2022-01-03,5.18,Ban Tha Lo,น้ำแม่ตุ๋ย,บ่อแฮ้ว,เมือง,ลำปาง
2022-01-03,3.82,Ban Tha Pong Daeng,น้ำปาย,ผาบ่อง,เมือง,แม่ฮ่องสอน
2022-01-03,6.842083333,Ban Thung Nong,แม่น้ำยม,สระ,เชียงม่วน,พะเยา
2022-01-03,3.602083333,Ban Ton Yang,น้ำแม่ลาว,บัวสลี,แม่ลาว,เชียงราย
2022-01-03,12.69333333,Ban Wang Chin,แม่น้ำยม,วังชิ้น,วังชิ้น,แพร่
2022-01-03,4.88,Chedingam,น้ำอิง,ท่าวังทอง,เมือง,พะเยา
2022-01-03,6.8175,In front of the Forestry Office,แม่น้ำน่าน,ในเวียง,เมือง,น่าน
2022-01-03,5.47,Mae Kham Lak Chet,น้ำแม่คำ,ศรีค้ำ,แม่จัน,เชียงราย
2022-01-03,2.1,Nam Mae Chaem,น้ำแม่แจ่ม,บ้านท่าข้าม,จอมทอง,เชียงใหม่
