Date,Water volume in dams (by %),Name of dam
2021-03-06,46.72,Sirikit Dam
2021-03-06,44.42,Mae Ngat Somboon Chon Dam
2021-03-06,27.45,Mae Kuang Udom Thara Dam
2021-03-06,57.2,Kiew Lom Dam
2021-03-06,38.53,Kiew Kor Ma Dam
2021-03-06,36.23,Khwae Noi Bamrung Dan Dam
2021-03-06,35.96,Mae Mok Dam
2021-03-07,36.75,Bhumibol Dam
2021-03-07,46.57,Sirikit Dam
2021-03-07,44.4,Mae Ngat Somboon Chon Dam
2021-03-07,27.27,Mae Kuang Udom Thara Dam
2021-03-07,57.2,Kiew Lom Dam
2021-03-07,38.14,Kiew Kor Ma Dam
2021-03-07,36.13,Khwae Noi Bamrung Dan Dam
2021-03-07,35.96,Mae Mok Dam
2021-03-08,36.67,Bhumibol Dam
2021-03-08,46.42,Sirikit Dam
2021-03-08,44.35,Mae Ngat Somboon Chon Dam
2021-03-08,27.12,Mae Kuang Udom Thara Dam
2021-03-08,57.11,Kiew Lom Dam
2021-03-08,38.14,Kiew Kor Ma Dam
2021-03-08,36.05,Khwae Noi Bamrung Dan Dam
2021-03-08,35.96,Mae Mok Dam
2021-03-09,36.6,Bhumibol Dam
2021-03-09,46.28,Sirikit Dam
2021-03-09,44.24,Mae Ngat Somboon Chon Dam
2021-03-09,26.91,Mae Kuang Udom Thara Dam
2021-03-09,57.11,Kiew Lom Dam
2021-03-09,38.14,Kiew Kor Ma Dam
2021-03-09,35.97,Khwae Noi Bamrung Dan Dam
2021-03-09,35.96,Mae Mok Dam
2021-03-10,36.53,Bhumibol Dam
2021-03-10,46.13,Sirikit Dam
2021-03-10,44.14,Mae Ngat Somboon Chon Dam
2021-03-10,26.72,Mae Kuang Udom Thara Dam
2021-03-10,57.11,Kiew Lom Dam
2021-03-10,38.1,Kiew Kor Ma Dam
2021-03-10,35.87,Khwae Noi Bamrung Dan Dam
2021-03-10,35.88,Mae Mok Dam
2021-03-11,36.47,Bhumibol Dam
2021-03-11,45.98,Sirikit Dam
2021-03-11,44.03,Mae Ngat Somboon Chon Dam
2021-03-11,26.63,Mae Kuang Udom Thara Dam
2021-03-11,57.11,Kiew Lom Dam
2021-03-11,37.89,Kiew Kor Ma Dam
2021-03-11,35.77,Khwae Noi Bamrung Dan Dam
2021-03-11,35.8,Mae Mok Dam
2021-03-12,36.39,Bhumibol Dam
2021-03-12,45.84,Sirikit Dam
2021-03-12,43.18,Mae Ngat Somboon Chon Dam
2021-03-12,26.42,Mae Kuang Udom Thara Dam
2021-03-12,56.84,Kiew Lom Dam
2021-03-12,37.74,Kiew Kor Ma Dam
2021-03-12,35.62,Khwae Noi Bamrung Dan Dam
2021-03-12,35.8,Mae Mok Dam
